,id,type,location_name,groups,price,area,under_valued,over_valued,normal
4369,2936147,"['Moradia', 'Quinta']",['Quinta da marinha'],houses,6000000,819.0,1,0,0
4370,2936150,"['Moradia', 'Quinta']",['Quinta da marinha'],houses,8500000,655.0,0,0,1
4371,2936151,"['Moradia', 'Quinta']",['Quinta da marinha'],houses,6500000,1100.0,1,0,0
4372,2936668,['Moradia'],['Alenquer'],houses,320000,289.0,1,0,0
4373,2936674,['Moradia'],['Alenquer'],houses,259800,180.0,1,0,0
4374,2936691,"['Moradia', 'Quinta']",['Quinta da marinha'],houses,6500000,1100.0,1,0,0
4375,2936692,"['Moradia', 'Quinta']",['Quinta da marinha'],houses,8500000,655.0,0,0,1
4376,2936693,"['Moradia', 'Quinta']",['Quinta da marinha'],houses,6000000,819.0,1,0,0
4377,2941371,['Moradia'],['Alenquer'],houses,185000,400.0,1,0,0
4378,2942215,['Moradia'],['Alenquer'],houses,25000,30.0,1,0,0
4379,2942222,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,650000,123.0,1,0,0
4380,2942876,['Apartment'],['Nagüeles'],apartment,280000,85.0,0,0,1
4381,2943421,['Villa'],"['Golden Mile', 'Nagüeles']",houses,1295000,268.0,1,0,0
4382,2943665,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2750000,500.0,1,0,0
4383,2943668,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,650000,119.0,1,0,0
4384,2943972,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2750000,500.0,1,0,0
4385,2943974,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,650000,119.0,1,0,0
4386,2948682,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,650000,0.0,0,0,1
4387,2948709,['Quinta'],['Quinta da Marinha'],houses,1245000,0.0,0,0,1
4388,2948714,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,3600000,0.0,0,0,1
4389,2950678,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,2950000,556.0,1,0,0
4390,2951122,['villa'],['Nagüeles'],houses,2350000,465.0,1,0,0
4391,2951126,['villa'],"['Golden Mile', 'Nagüeles']",houses,3700000,1200.0,1,0,0
4392,2951241,['Apartment'],['Nagüeles'],apartment,272000,110.0,0,0,1
4393,2951270,['Apartment'],['Nagüeles'],apartment,280000,85.0,0,0,1
4394,2951473,['Villa'],['Nagüeles'],houses,4500000,672.0,1,0,0
4395,2953754,['Quinta'],['Quinta da Marinha'],houses,2282900,0.0,0,0,1
4396,2954334,['Moradia'],['Alenquer'],houses,425000,275.0,1,0,0
4397,2955498,['Apartment'],['Nagüeles'],apartment,272000,110.0,0,0,1
